Date,Con,Lab,LD,UKIP,Green
1945-07-05,0,1,0,0,0
1950-02-23,0,1,0,0,0
1951-10-25,1,0,0,0,0
1955-05-26,1,0,0,0,0
1959-10-08,1,0,0,0,0
1964-10-15,0,1,0,0,0
1966-03-31,0,1,0,0,0
1970-06-18,1,0,0,0,0
1974-02-28,0,1,0,0,0
1974-10-10,0,1,0,0,0
1979-05-30,1,0,0,0,0
1983-06-09,1,0,0,0,0
1987-06-11,1,0,0,0,0
1992-04-09,1,0,0,0,0
1997-05-01,0,1,0,0,0
2001-06-07,0,1,0,0,0
2005-05-05,0,1,0,0,0
2010-05-06,1,0,1,0,0
2015-05-07,1,0,0,0,0
